experiment,unique_id,age,gender,stimulus_identity_condition,experiment_condition,task_order,completeness_acquisition_training,completeness_acquisition_testing,completeness_counterconditioning_training,completeness_counterconditioning_testing,mean_correct_acquisition_training,mean_correct_acquisition_testing,mean_correct_counterconditioning_training,mean_correct_counterconditioning_testing,passed_performance_criterion_acquisition_training,passed_performance_criterion_acquisition_testing,passed_performance_criterion_counterconditioning_training,passed_performance_criterion_counterconditioning_testing,self_reported_OEC_effect,self_reported_OEC_effect_controlling_stimulus_identity,self_reported_IR_effect,self_reported_IR_effect_controlling_stimulus_identity,complete_iat_data,iat_block_order,passed_iat_performance,IAT_D2,IAT_D2_controlling_stimulus_identity,behavioral_intentions_OEC,behavioral_intentions_IR,demand_response,reactance_response_1,reactance_response_2,confidence_stim_1,confidence_stim_2,confidence_stim_3,confidence_stim_4,believability_response_1,believability_response_2
6,6_164,27,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Implicits First,complete,complete,NA,complete,0.8,1,NA,1,TRUE,TRUE,NA,TRUE,-3,-3,-1.75,-1.75,complete,learning_inconsistent_first,TRUE,-0.322532132010343,-0.322532132010343,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,yes,5,0,0,2,1,yes,2
6,6_163,23,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Implicits First,complete,complete,NA,complete,1,0.75,NA,0.75,TRUE,TRUE,NA,TRUE,0,0,0,0,complete,learning_consistent_first,TRUE,0.6471013276279058,0.6471013276279058,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,yes,1,0,0,0,0,yes,6
6,6_130,21,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Explicits First,complete,complete,NA,complete,1,0.875,NA,0.875,TRUE,TRUE,NA,TRUE,0.25,0.25,0,0,complete,learning_inconsistent_first,TRUE,-0.3503153393017695,-0.3503153393017695,I would try Brand 1,I would try Brand 4,Not Demand Compliant,yes,2,1,1,1,1,yes,5
6,6_137,36,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_counterconditioning,Explicits First,complete,complete,complete,complete,0.35,0.5,1,0.5,FALSE,FALSE,TRUE,FALSE,7.75,7.75,-0.75,-0.75,complete,learning_consistent_first,FALSE,0.9112117462442869,0.9112117462442869,I would try Brand 1,I would try Brands 2 and 4,Not Demand Compliant,yes,5,4,2,4,0,no,NA
6,6_131,37,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Implicits First,complete,complete,NA,complete,1,1,NA,1,TRUE,TRUE,NA,TRUE,0,0,-1.5,-1.5,complete,learning_consistent_first,TRUE,-0.2847458699270963,-0.2847458699270963,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,0,-1,0,1,yes,6
6,6_132,29,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Implicits First,complete,complete,NA,complete,0.95,1,NA,1,TRUE,TRUE,NA,TRUE,0,0,0,0,complete,learning_inconsistent_first,TRUE,-0.8817926514658956,-0.8817926514658956,I don't know,I don't know,Not Demand Compliant,yes,1,0,0,0,0,no,NA
6,6_106,20,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_counterconditioning,Explicits First,complete,complete,complete,complete,1,1,0.95,1,TRUE,TRUE,TRUE,TRUE,9.5,9.5,5.75,5.75,complete,learning_inconsistent_first,TRUE,-0.6318755799017214,-0.6318755799017214,I would try Brand 1,I would try Brand 2,Not Demand Compliant,yes,5,5,5,5,5,no,NA
6,6_100,28,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Implicits First,complete,complete,NA,complete,1,1,NA,1,TRUE,TRUE,NA,TRUE,1,1,-2.25,-2.25,complete,learning_inconsistent_first,TRUE,0.5698418204878634,0.5698418204878634,I would try Brand 1,I would try Brands 2 and 4,Not Demand Compliant,yes,5,2,-1,0,-2,yes,9
6,6_73,33,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_counterconditioning,Explicits First,complete,complete,complete,complete,1,1,0.95,1,TRUE,TRUE,TRUE,TRUE,10,10,0,0,complete,learning_consistent_first,TRUE,0.5198018934257838,0.5198018934257838,I would try Brand 1,I would try Brands 2 and 4,Not Demand Compliant,yes,3,5,5,5,5,yes,7
6,6_98,31,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Explicits First,complete,complete,NA,complete,1,1,NA,1,TRUE,TRUE,NA,TRUE,10,10,10,10,complete,learning_inconsistent_first,TRUE,-0.2636657281229484,-0.2636657281229484,I would try Brand 1,I would try Brand 2,Not Demand Compliant,yes,1,5,5,5,5,no,NA
